,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,"En 1844 en la provincia sueca de Småland , la familia Nilsson vive en la parroquia de Ljuder, en una pequeña granja en el bosque de Korpamoen. El hijo mayor, Karl Oskar, hereda la granja de su padre Nils, después de conocer a una joven llamada Kristina Johansdotter, que se convierte en su novia. Ella se muda a Korpamoen para vivir con él y sus padres. En los años siguientes, Karl Oskar y Kristina forman una familia, comenzando con una hija, Anna, seguida de Johan, Marta y Harald. La familia lucha con el mal clima, las cosechas y el hambre. El rebelde hermano menor de Karl Oskar, Robert, primero se le ocurre la idea de emigrar a Estados Unidos, cansado de ser tratado mal como un granjero. Primero le pide a su amigo Arvid, otro granjero de Nybacken, que lo acompañe. Arvid está de acuerdo con entusiasmo, pero las esperanzas de ambos se desvanecen cuando se dan cuenta de que no tienen el dinero necesario para su paso. Robert se enfrenta a Karl Oskar acerca de vender su parte de la granja para poder pagar el pasaje, solo para descubrir que el propio Karl Oskar había estado considerando la idea de trasladar a su familia a los Estados Unidos. A pesar de las ofertas de una vida mejor, Kristina rechaza rotundamente la noción, no quiere abandonar su tierra natal y teme arriesgar la vida de sus cuatro hijos pequeños en el océano.",-1,-1_después_casa_arthur_sam,"['después', 'casa', 'arthur', 'sam', 'familia', 'michael', 'finalmente', 'hijo', 'guerra', 'tiempo']","La historia comienza con un recuerdo de cómo el hobbit Smeágol llegó a poseer el Anillo de Poder, tras matar a su amigo Déagol, quien lo había encontrado en el fondo de un río (donde cayó muchos años antes, como se vio en la primera película, cuando unos orcos asesinaron a Isildur, quien había cortado el dedo a Sauron en el Sitio de Barad-dûr, que concluyó la Guerra de la Última Alianza, y había conservado el Anillo a pesar de las advertencias de Elrond). A partir de entonces continúa el relato en donde se dejó mientras Gollum lleva a Frodo y Sam a través de la entrada cercana a Minas Morgul, en donde ven a sus ejércitos partir a la guerra. ",después - casa - arthur - sam - familia - michael - finalmente - hijo - guerra - tiempo,0.15599529249882893,False
1,"La película narra la historia de Bernadette Soubirous, pastora francesa a quien se apareció la Virgen María en Lourdes en 1858. El escepticismo inicial con que fue recibida la noticia cambió no solo por las curaciones inexplicables al beber del agua de un manantial que brotó al excavar la niña el suelo con sus propias manos, sino también porque el párroco preguntó cuál era el nombre de la dama que decía ver Bernadette, a lo cual su contestación fue que su nombre era la Inmaculada Concepción cuestión teológica muy discutida en ese momento en Roma y fuera del conocimiento de una pastora analfabeta.",1,1_película_gillis_freddie_john,"['película', 'gillis', 'freddie', 'john', 'juguetes', 'george', 'michael', 'maggie', 'norma', 'años']","La película está dedicada a la vida y obra del periodista, prosista y socialista estadounidense John Reed , así como a su relación con su futura esposa, la periodista Louise Bryant durante el periodo 1915-1920. La película contiene entrevistas con contemporáneos y amigos de los personajes principales, así como con personajes históricos, incluido Scott Nearing  , un activista por la paz estadounidense y radical de 98 años . Otros testigos incluyen a la periodista estadounidense Dorothy Frooks , el influyente periodista George Seldes y el escritor Henry Miller .",película - gillis - freddie - john - juguetes - george - michael - maggie - norma - años,1.0,False
2,"El detective privado Sam Spade (Humphrey Bogart) está sentado en su oficina, mirando la ciudad de San Francisco por la ventana, cuando irrumpe una misteriosa dama, la señorita Ruth Wonderly. La elegante mujer quiere investigar el paradero de su hermana, quien ha huido de casa con un vividor de origen británico. El socio de Sam, Miles Archer (Jerome Cowan) se ofrece para buscar al hombre y sigue discretamente a la mujer, pero es asesinado. Sam confronta a la clienta, y la señorita Ruth Wonderly confiesa que realmente ella es Brigid O’Shaugnessy (Mary Astor) y que el asunto de la desaparición de su hermana es mentira: el hombre que buscaba era su socio y puede tener en su poder una valiosa estatua de un halcón, incrustada con piedras preciosas de un valor inmenso, que se supone que era el tributo que los Caballeros de Malta pagaron por la isla al rey Carlos I de España. Ella no es la única tras el Halcón Maltés, ya que un grupo de delincuentes internacionales está también tratando de conseguir la estatua, dispuestos a engañar, robar o matar, para apropiarse del tesoro. Un hombre llamado Kasper Gutman (Sydney Greenstreet), el engañoso Joel Cairo (Peter Lorre), Wilmer (Elisha Cook Jr.) y la seductora señora O’Shaughnessy quieren aprovecharse del genio y el ingenio de Sam Spade para sus propios intereses, pero al detective le preocupa más salir ileso de las peligrosas situaciones y sacar el mayor provecho para sí mismo.",2,2_policía_valjean_merrick_prisión,"['policía', 'valjean', 'merrick', 'prisión', 'cogburn', 'malcolm', 'stallworth', 'hospital', 'martin', 'hampton']","En el oeste de Texas, en junio de 1980, todo está desolado y es un país abierto. El investigador de homicidios Ed Tom Bell (Tommy Lee Jones) lamenta el aumento de la violencia en una región en la que, como su padre y su abuelo antes que él, se ha vinculado a la oficina del sheriff.",policía - valjean - merrick - prisión - cogburn - malcolm - stallworth - hospital - martin - hampton,0.4394338638724226,False
3,"La historia transcurre en el día más caluroso del verano, en la Inglaterra de 1935, en el centro de una familia de clase alta. Briony Tallis, de 13 años, pasa otra mañana aburrida de sus vacaciones en su casa, junto a su familia, sin más remedio que convivir con su hermana Cecilia y sus primos recién llegados, Pier, Jack y Lola, ante la despreocupación de su madre, Emily.",-1,-1_después_casa_arthur_sam,"['después', 'casa', 'arthur', 'sam', 'familia', 'michael', 'finalmente', 'hijo', 'guerra', 'tiempo']","La historia comienza con un recuerdo de cómo el hobbit Smeágol llegó a poseer el Anillo de Poder, tras matar a su amigo Déagol, quien lo había encontrado en el fondo de un río (donde cayó muchos años antes, como se vio en la primera película, cuando unos orcos asesinaron a Isildur, quien había cortado el dedo a Sauron en el Sitio de Barad-dûr, que concluyó la Guerra de la Última Alianza, y había conservado el Anillo a pesar de las advertencias de Elrond). A partir de entonces continúa el relato en donde se dejó mientras Gollum lleva a Frodo y Sam a través de la entrada cercana a Minas Morgul, en donde ven a sus ejércitos partir a la guerra. ",después - casa - arthur - sam - familia - michael - finalmente - hijo - guerra - tiempo,0.18335984390264237,False
4,"Hal Carter, un joven aventurero llega a una pequeña población de Kansas, Estados Unidos, donde quiere visitar a su antiguo compañero de la universidad, Alan Benson. Resulta que Alan es el hijo del hombre más rico del pueblo, tiene una vida cómoda y será el heredero del imperio que su padre ha construido, y tiene una novia, Madge que vive con su madre, hermana (Susan Strasberg) y una maestra de secundaria (Rosalind Russell) a la que le rentan una habitación. ",0,0_roxie_madre_familia_york,"['roxie', 'madre', 'familia', 'york', 'mark', 'nueva', 'daisy', 'woody', 'bird', 'bugsy']","Nina Sayers (Natalie Portman) es una joven e introvertida bailarina en una prestigiosa compañía de ballet de Nueva York. Vive con su madre, Erica (Barbara Hershey), que es una exbailarina y quien la consiente y la trata como una niña. ",roxie - madre - familia - york - mark - nueva - daisy - woody - bird - bugsy,0.2304953334876003,False
5,"Elisa Esposito, que fue encontrada abandonada de niña con heridas en el cuello al lado de un río, es muda y se comunica a través de la lengua de señas. Trabaja como personal de limpieza en un laboratorio secreto del gobierno en Baltimore, Maryland en 1962, en el apogeo de la Guerra Fría. Sus únicos amigos son su vecino de al lado, Giles, un gay en el armario e ilustrador de publicidad de mediana edad, y su compañera de trabajo, Zelda Fuller, una mujer afroamericana. La instalación recibe una misteriosa criatura capturada en un río sudamericano por el coronel Richard Strickland, quien está a cargo del proyecto para investigarla. Curiosa sobre la criatura, se acerca al tanque donde permanece y Elisa descubre que es un anfibio humanoide. Ella comienza a visitarlo en secreto, y los dos forman un vínculo cercano.",0,0_roxie_madre_familia_york,"['roxie', 'madre', 'familia', 'york', 'mark', 'nueva', 'daisy', 'woody', 'bird', 'bugsy']","Nina Sayers (Natalie Portman) es una joven e introvertida bailarina en una prestigiosa compañía de ballet de Nueva York. Vive con su madre, Erica (Barbara Hershey), que es una exbailarina y quien la consiente y la trata como una niña. ",roxie - madre - familia - york - mark - nueva - daisy - woody - bird - bugsy,0.3558308777104747,False
6,"Kitty Foyle es una humilde chica de Filadelfia, que conoce a Wyn Strafford, un rico heredero de una influyente familia de la ciudad. Mantienen una relación amorosa, pero las diferencias sociales crean problemas en la pareja.",-1,-1_después_casa_arthur_sam,"['después', 'casa', 'arthur', 'sam', 'familia', 'michael', 'finalmente', 'hijo', 'guerra', 'tiempo']","La historia comienza con un recuerdo de cómo el hobbit Smeágol llegó a poseer el Anillo de Poder, tras matar a su amigo Déagol, quien lo había encontrado en el fondo de un río (donde cayó muchos años antes, como se vio en la primera película, cuando unos orcos asesinaron a Isildur, quien había cortado el dedo a Sauron en el Sitio de Barad-dûr, que concluyó la Guerra de la Última Alianza, y había conservado el Anillo a pesar de las advertencias de Elrond). A partir de entonces continúa el relato en donde se dejó mientras Gollum lleva a Frodo y Sam a través de la entrada cercana a Minas Morgul, en donde ven a sus ejércitos partir a la guerra. ",después - casa - arthur - sam - familia - michael - finalmente - hijo - guerra - tiempo,0.4649087572929187,False
7,"Poco antes de la Navidad de 1944, los soldados estadounidenses esperan su prometido viaje a París en un campamento en Francia. Su esperanza de vacaciones se desvanece cuando se les ordena marchar a Bastogne en Bélgica. Deben luchar contra el XXXXVII Panzerkorps de la Wehrmacht alemana, que ha logrado romper las líneas aliadas. Los soldados de la unidad incluyen al periodista de un pueblo pequeño Jarvess, al latino Rodrigues, al recién llegado Leyton, al mujeriego Holley y al líder de pelotón Kinnie.",3,3_kuribayashi_capitán_kaffee_soldados,"['kuribayashi', 'capitán', 'kaffee', 'soldados', 'schofield', 'coronel', 'teniente', 'marina', 'alemán', 'soldado']","En la mañana del 6 de junio de 1944, comienzo de la invasión de Normandía, los soldados estadounidenses se preparan para desembarcar en la playa de Omaha. Nada más abrirse las puertas de sus lanchas de desembarco son recibidos por un feroz fuego de Ametralladoras MG 42 y artillería alemana, que masacra a muchos de los soldados en cuanto ponen pie en tierra. El capitán John H. Miller, al mando de la compañía Charlie del 2.º Batallón Ranger, sobrevive a la carnicería del desembarco, reúne a un grupo de soldados para intentar penetrar las defensas alemanas y abre brecha para avanzar desde la playa.",kuribayashi - capitán - kaffee - soldados - schofield - coronel - teniente - marina - alemán - soldado,0.672689093205712,False
8,"Hugo Cabret es un niño de 12 años que vive con su padre, un hombre viudo, dedicado y cariñoso, maestro relojero en París, en los años 1930 y 1931. Su padre (Jude Law) lleva constantemente a Hugo al cine, y adora las películas de Georges Méliès, el mejor cineasta de su tiempo. El padre de Hugo muere en un incendio producido en un museo y queda bajo la tutela de su tío, un relojero alcohólico responsable del mantenimiento de los relojes en una estación de tren de París. ",-1,-1_después_casa_arthur_sam,"['después', 'casa', 'arthur', 'sam', 'familia', 'michael', 'finalmente', 'hijo', 'guerra', 'tiempo']","La historia comienza con un recuerdo de cómo el hobbit Smeágol llegó a poseer el Anillo de Poder, tras matar a su amigo Déagol, quien lo había encontrado en el fondo de un río (donde cayó muchos años antes, como se vio en la primera película, cuando unos orcos asesinaron a Isildur, quien había cortado el dedo a Sauron en el Sitio de Barad-dûr, que concluyó la Guerra de la Última Alianza, y había conservado el Anillo a pesar de las advertencias de Elrond). A partir de entonces continúa el relato en donde se dejó mientras Gollum lleva a Frodo y Sam a través de la entrada cercana a Minas Morgul, en donde ven a sus ejércitos partir a la guerra. ",después - casa - arthur - sam - familia - michael - finalmente - hijo - guerra - tiempo,0.39819012092832284,False
9,"Mildred Hayes es una mujer divorciada que vive junto a su hijo Robbie en la ciudad ficticia de Ebbing, Misuri y que está afligida por la violación y muerte de su hija Angela, ocurrida siete meses antes. Enojada por la falta de progreso en la investigación para dar con el culpable, decide alquilar tres vallas publicitarias abandonadas, cerca de su casa, que en secuencia dicen «VIOLADA MIENTRAS MORÍA», «¿Y TODAVÍA NO HAY ARRESTOS?», y «¿CÓMO ES POSIBLE, JEFE WILLOUGHBY?». La gente del pueblo está molesta por las vallas publicitarias, incluido el jefe de policía Bill Willoughby y el oficial Jason Dixon. El secreto a voces de que Willoughby sufre de cáncer de páncreas terminal aumenta su desaprobación. Mildred y su hijo Robbie son acosados y amenazados, pero ella se mantiene firme, para disgusto de Robbie. ",0,0_roxie_madre_familia_york,"['roxie', 'madre', 'familia', 'york', 'mark', 'nueva', 'daisy', 'woody', 'bird', 'bugsy']","Nina Sayers (Natalie Portman) es una joven e introvertida bailarina en una prestigiosa compañía de ballet de Nueva York. Vive con su madre, Erica (Barbara Hershey), que es una exbailarina y quien la consiente y la trata como una niña. ",roxie - madre - familia - york - mark - nueva - daisy - woody - bird - bugsy,0.6180433045359184,False
